Key,Entity,Code,Year,Historical and more recent literacy estimates
AFG1979,Afghanistan,AFG,1979,18.15768
AFG2011,Afghanistan,AFG,2011,31.44885
AFG2015,Afghanistan,AFG,2015,38.16804
AFG2021,Afghanistan,AFG,2021,37.26604
ALB2001,Albania,ALB,2001,98.71298
ALB2008,Albania,ALB,2008,95.93864
ALB2011,Albania,ALB,2011,96.8453
ALB2012,Albania,ALB,2012,97.24697
ALB2015,Albania,ALB,2015,97.5539
ALB2022,Albania,ALB,2022,98.5
DZA1987,Algeria,DZA,1987,49.63088
DZA2002,Algeria,DZA,2002,69.8735
DZA2006,Algeria,DZA,2006,72.64868
DZA2008,Algeria,DZA,2008,75.13605
DZA2015,Algeria,DZA,2015,79.6084
DZA2018,Algeria,DZA,2018,81.40784
ASM1980,American Samoa,ASM,1980,97.34416
AND2011,Andorra,AND,2011,100
AGO2001,Angola,AGO,2001,67.40542
AGO2014,Angola,AGO,2014,66.03011
AGO2015,Angola,AGO,2015,71.16416
AGO2022,Angola,AGO,2022,72.4
AIA1984,Anguilla,AIA,1984,95
ATG2001,Antigua and Barbuda,ATG,2001,98.95
ATG2014,Antigua and Barbuda,ATG,2014,98.95
1990,Arab World,,1990,54.59347
2000,Arab World,,2000,66.006065
2010,Arab World,,2010,77.364586
1978,Arab World (WB),,1978,46.47531
1979,Arab World (WB),,1979,46.94826
1980,Arab World (WB),,1980,47.53087
1981,Arab World (WB),,1981,48.11101
1982,Arab World (WB),,1982,48.67683
1983,Arab World (WB),,1983,48.89918
1984,Arab World (WB),,1984,49.61644
1985,Arab World (WB),,1985,50.50422
1986,Arab World (WB),,1986,51.30673
1987,Arab World (WB),,1987,51.98211
1988,Arab World (WB),,1988,52.97973
1989,Arab World (WB),,1989,53.85493
1990,Arab World (WB),,1990,54.79577
1991,Arab World (WB),,1991,55.81391
1992,Arab World (WB),,1992,56.86386
1993,Arab World (WB),,1993,57.68294
1994,Arab World (WB),,1994,58.44878
1995,Arab World (WB),,1995,59.59429
1996,Arab World (WB),,1996,60.88104
1997,Arab World (WB),,1997,61.82833
1998,Arab World (WB),,1998,63.03689
1999,Arab World (WB),,1999,64.11116
2000,Arab World (WB),,2000,64.8063
2001,Arab World (WB),,2001,66.24235
2002,Arab World (WB),,2002,67.3602
2003,Arab World (WB),,2003,69.98903
2004,Arab World (WB),,2004,70.57378
2005,Arab World (WB),,2005,70.23333
2006,Arab World (WB),,2006,69.12741
2007,Arab World (WB),,2007,69.87659
2008,Arab World (WB),,2008,70.67663
2009,Arab World (WB),,2009,69.58039
2010,Arab World (WB),,2010,70.51842
2011,Arab World (WB),,2011,72.2775
2012,Arab World (WB),,2012,75.70189
2013,Arab World (WB),,2013,73.27648
2014,Arab World (WB),,2014,77.57787
2015,Arab World (WB),,2015,74.98121
2016,Arab World (WB),,2016,76.38673
2017,Arab World (WB),,2017,77.1703
2018,Arab World (WB),,2018,74.28613
2019,Arab World (WB),,2019,74.60366
2020,Arab World (WB),,2020,75.02288
2021,Arab World (WB),,2021,75.23118
2022,Arab World (WB),,2022,75.17153
ARG1900,Argentina,ARG,1900,51.3
ARG1910,Argentina,ARG,1910,60.4
ARG1920,Argentina,ARG,1920,68.2
ARG1930,Argentina,ARG,1930,74.9
ARG1940,Argentina,ARG,1940,81.7
ARG1950,Argentina,ARG,1950,87.6
ARG1960,Argentina,ARG,1960,91.4
ARG1970,Argentina,ARG,1970,93
ARG1979,Argentina,ARG,1979,94.2
ARG1980,Argentina,ARG,1980,93.91286
ARG1991,Argentina,ARG,1991,96.04072
ARG2001,Argentina,ARG,2001,97.19331
ARG2014,Argentina,ARG,2014,98.03402
ARG2015,Argentina,ARG,2015,98.08997
ARM1989,Armenia,ARM,1989,98.75196
ARM2001,Armenia,ARM,2001,99.40016
ARM2011,Armenia,ARM,2011,99.74441
ARM2015,Armenia,ARM,2015,99.76842
ARM2016,Armenia,ARM,2016,99.74441
ARM2017,Armenia,ARM,2017,99.73607
ARM2020,Armenia,ARM,2020,99.78861
ABW2000,Aruba,ABW,2000,97.29125
ABW2010,Aruba,ABW,2010,96.82264
ABW2015,Aruba,ABW,2015,97.5242
ABW2020,Aruba,ABW,2020,97.99
AUS2003,Australia,AUS,2003,99
AUT2011,Austria,AUT,2011,98
AZE1999,Azerbaijan,AZE,1999,98.7918
AZE2007,Azerbaijan,AZE,2007,99.59319
AZE2009,Azerbaijan,AZE,2009,99.75984
AZE2010,Azerbaijan,AZE,2010,99.77114
